rera_certificate_no,builder_name,complaint_count,cases_count,possession_delay_months
P51700001032,Acme Housing India Private Limited,0,6,12
P51700001038,Acme Housing India Private Limited,37,6,54
P51700001033,Acme Housing India Private Limited,1,6,54
P51700000448,Palava Dwellers Private Limited,5,5,12
P51700000928,ROMA BUILDERS PRIVATE LIMITED,0,6,48
P51700000420,Palava Dwellers Private Limited,2,5,12
P51700000635,Agile Real Estate Pvt. Ltd.,1,5,48
P51700000625,Agile Real Estate Pvt. Ltd.,0,5,48
P51700000598,Rahul Vijay Panvelkar,0,0,12
P51700000802,Palava Dwellers Private Limited,1,4,12
P51700000463,SHANKHESHWAR KREATERS,0,0,0
P51700004557,MOHAN LIFESPACES LLP,0,2,6
P51700013381,Lote Constructions,0,0,17
P51700000640,Agile Real Estate Pvt. Ltd.,3,5,48
P51700000922,Agile Real Estate Pvt. Ltd.,0,5,48
P51700001809,Sai Satyam Developers,0,0,24
P51700002912,ROMA BUILDERS PRIVATE LIMITED,0,2,0
P51700001039,Agile Real Estate Pvt. Ltd.,5,3,51
P51700000927,Agile Real Estate Pvt. Ltd.,9,3,51
P51700000925,Agile Real Estate Pvt. Ltd.,0,5,48
P51700004964,SHREYAS ENTERPRISES,0,0,0
P51700007312,SHREE DEVELOPERS,0,0,30
P51700001031,MACROTECH DEVELOPERS LIMITED,15,2,12
P51700001040,Agile Real Estate Pvt. Ltd.,3,3,51
P51700000732,Agile Real Estate Pvt. Ltd.,4,3,51
P51700004963,Chaturthi Developers,0,0,12
P51700000924,Agile Real Estate Pvt. Ltd.,1,3,51
P51700001278,Agile Real Estate Pvt. Ltd.,2,3,51
P51700001083,Agile Real Estate Pvt. Ltd.,1,3,48
P51700001310,Agile Real Estate Pvt. Ltd.,6,3,48
P51700001065,MACROTECH DEVELOPERS LIMITED,87,2,0
P51700002752,FSK BUILDERS & DEVELOPERS PRIVATE LIMITED,0,0,24
P51700002833,FSK BUILDERS & DEVELOPERS PRIVATE LIMITED,0,0,36
P51700005444,PRAKASH LELE CONSTRUCTION,0,0,0
P51700007310,ANIL HARDASMAL THARWANI,0,0,0
P51700004962,SUKHANAND INFRA PVT. LTD.,0,0,60
P51700006472,GOPAL KRISHNA DEVELOPERS,0,0,17
P51700005670,AL-SAAD CONSTRUCTIONS,0,0,12
P51700003640,KAMBAR RESIDENCES,0,0,36
P51700005338,SIDDHI REAL ESTATE DEVELOPERS,0,6,47
